Year,Type,Age 3,Age 4,Age 5,Age 6,TotalAdults,TotalAll,one_ocean_prop,Season
2005,Bonn Dam,20239,,,,0,,,spring
2006,Bonn Dam,,103197.244,21699.176,1261.58,126158,,0.818,spring
2007,Bonn Dam,20329,53590,26431,808,80829,101158,0.663004615,spring
2008,Bonn Dam,22352,137009.29,14581.92,303.79,151895,174247,0.902,spring
2009,Bonn Dam,81783,116845,29897,747,147489,229272,0.792228573,spring
2010,Bonn Dam,16258,270711,6678,0,277389,293647,0.975925505,spring
2011,Bonn Dam,67038,169608,35823,0,205431,272469,0.825620281,spring
2012,Bonn Dam,10219,166452,19816,180,186448,196667,0.892752939,spring
2013,Bonn Dam,42795,81821,29566,1547,112934,155729,0.724502807,spring
2014,Bonn Dam,32408,203059.6738,21607.64152,278.6846467,224946,257354,0.902704088,spring
2015,Bonn Dam,18138,244318,20641,599,265558,283696,0.920017473,spring
2016,Bonn Dam,14019,135488,36863,263,172614,186633,0.784918952,spring
2017,Bonn Dam,21692,83835.95721,20963.75339,2724.289394,107524,129216,0.779695298,spring
2018,Bonn Dam,"7,563","98,781","9,059",206,"108,045","115,608",0.914253944,spring
2019,Bonn Dam,"9,092","58,354","12,710",172,"71,236","80,328",0.819164467,spring
2020,Bonn Dam,7953,74900,6400,400,81700,89653,0.916768666,spring
2021,Bonn Dam,15592,76871,14717,148,91736,107328,0.837958926,spring
2022,Bonn Dam,"23,957","160,839","12,580",318,"173,737","197,694",0.925761352,spring
2023,Bonn Dam,"12,825","120,852","15,371",563,"136,786","149,611",0.88351147,spring
2024,Bonn Dam,,,,,,,0.862,spring
2005,Bonn Dam,,,,,,,0.253,summer
2006,Bonn Dam,,,,,,,0.156,summer
2007,Bonn Dam,,,,,,,0.313,summer
2008,Bonn Dam,,,,,,,0.529,summer
2009,Bonn Dam,,,,,,,0.229,summer
2010,Bonn Dam,,,,,,,0.685,summer
2011,Bonn Dam,,,,,,,0.387,summer
2012,Bonn Dam,,,,,,,0.681,summer
2013,Bonn Dam,,,,,,,0.523,summer
2014,Bonn Dam,,,,,,,0.41,summer
2015,Bonn Dam,,,,,,,0.613,summer
2016,Bonn Dam,,,,,,,0.265,summer
2017,Bonn Dam,,,,,,,0.422,summer
2018,Bonn Dam,,,,,,,0.675,summer
2019,Bonn Dam,,,,,,,0.549,summer
2020,Bonn Dam,,,,,,,0.772,summer
2021,Bonn Dam,,,,,,,0.527,summer
2022,Bonn Dam,,,,,,,0.683,summer
2023,Bonn Dam,,,,,,,0.433,summer
2024,Bonn Dam,,,,,,,0.406,summer
2005,Bonn Dam,,,,,,,0.24518527,Bright
2006,Bonn Dam,,,,,,,0.218754563,Bright
2007,Bonn Dam,,,,,,,0.224351709,Bright
2008,Bonn Dam,,,,,,,0.282515611,Bright
2009,Bonn Dam,,,,,,,0.140396971,Bright
2010,Bonn Dam,,,,,,,0.351581082,Bright
2011,Bonn Dam,,,,,,,0.197238123,Bright
2012,Bonn Dam,,,,,,,0.413789031,Bright
2013,Bonn Dam,,,,,,,0.441758874,Bright
2014,Bonn Dam,,,,,,,0.069504223,Bright
2015,Bonn Dam,,,,,,,0.179103151,Bright
2016,Bonn Dam,,,,,,,0.103604531,Bright
2017,Bonn Dam,,,,,,,0.069540806,Bright
2018,Bonn Dam,,,,,,,0.48019301,Bright
2019,Bonn Dam,,,,,,,0.360849424,Bright
2020,Bonn Dam,,,,,,,0.166530931,Bright
2021,Bonn Dam,,,,,,,0.309241046,Bright
2022,Bonn Dam,,,,,,,0.14762543,Bright
2023,Bonn Dam,,,,,,,0.184022443,Bright
2024,Bonn Dam,,,,,,,0.166714867,Bright
2005,Bonn Dam,,,,,,,0.527494051,Tule
2006,Bonn Dam,,,,,,,0.619216943,Tule
2007,Bonn Dam,,,,,,,0.591942622,Tule
2008,Bonn Dam,,,,,,,0.980987216,Tule
2009,Bonn Dam,,,,,,,0.617912227,Tule
2010,Bonn Dam,,,,,,,0.954276296,Tule
2011,Bonn Dam,,,,,,,0.763033088,Tule
2012,Bonn Dam,,,,,,,0.789172003,Tule
2013,Bonn Dam,,,,,,,0.807793892,Tule
2014,Bonn Dam,,,,,,,0.822463768,Tule
2015,Bonn Dam,,,,,,,0.905042856,Tule
2016,Bonn Dam,,,,,,,0.541284083,Tule
2017,Bonn Dam,,,,,,,0.893500482,Tule
2018,Bonn Dam,,,,,,,0.941935758,Tule
2019,Bonn Dam,,,,,,,0.873579251,Tule
2020,Bonn Dam,,,,,,,0.891420526,Tule
2021,Bonn Dam,,,,,,,0.848930458,Tule
2022,Bonn Dam,,,,,,,0.948498644,Tule
2023,Bonn Dam,,,,,,,0.695538789,Tule
2024,Bonn Dam,,,,,,,0.540407049,Tule
