mod_type,model,predicted_abundance,MAPE,RMSE,Lo 95,Lo 50,Hi 50,Hi 95,coef_intercept,coef_log_lag_jack,coef_log_cum_cnt,coef_cnt_by_flow,covar_intercept,covar_log_lag_jack,covar_log_cum_cnt,covar_cnt_by_flow,effect_intercept,effect_log_lag_jack,effect_log_cum_cnt,effect_cnt_by_flow,year,MSA,MASE,coef_ar1,coef_ar2,coef_ar3,coef_ma1,logit_p,logit_p_sd,coef_cfs_mean_ema,coef_cfs_mean_ema_sd,date,ecotype,coef_ma2,coef_drift,coef_ma3,coef_ar4
DLM,PenDlm,104012.678,16.107,32601.304,71441.444,91399.887,118365.98,151433.63,0.027,0.69,0.307,0.077,1,0.429,-0.902,-1.131,0.027,0.296,-0.277,-0.087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-04-05,spring,NA,NA,NA,NA
ARIMA,RMSE_weighted,119357.137,16.23,29428.254,54896.987,91115.921,156826.577,266231.541,6.496,0.298,0.147,0.068,NA,0.429,-0.918,-1.16,NA,0.128,-0.135,-0.079,2024,15.923,0.452,-0.204,-0.185,-0.16,0.26,NA,NA,NA,NA,2024-04-05,spring,NA,NA,NA,NA
Joint_Lik,NA,105484.492,NA,NA,53624.528,83563.944,133168.148,207673.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.333,0.346,-0.54,0.199,2024-04-05,spring,NA,NA,NA,NA
DLM,PenDlm,103030.512,15.886,32800.936,70715.309,90514.127,117277.676,150112.99,0.068,0.697,0.321,0.091,1,0.429,-0.98,-1.19,0.068,0.299,-0.315,-0.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-04-06,spring,NA,NA,NA,NA
ARIMA,RMSE_weighted,118041.958,15.523,28748.638,54387.66,90166.668,155005.007,262845.287,7.174,0.328,0.154,0.063,NA,0.429,-0.997,-1.215,NA,0.141,-0.154,-0.077,2024,15.338,0.434,-0.19,-0.191,-0.164,0.271,NA,NA,NA,NA,2024-04-06,spring,NA,NA,NA,NA
Joint_Lik,NA,105485.058,NA,NA,53714.98,83611.827,133094.42,207340.951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.246,0.345,-0.529,0.192,2024-04-06,spring,NA,NA,NA,NA
DLM,PenDlm,103263.041,15.907,31993.102,71222.148,90871.117,117344.829,149718.256,0.089,0.686,0.34,0.079,1,0.429,-1.002,-1.2,0.089,0.294,-0.34,-0.094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-04-07,spring,NA,NA,NA,NA
ARIMA,RMSE_weighted,118096.942,16.37,29643.411,54717.533,90377.508,154799.08,261670.258,6.777,0.312,0.158,0.063,NA,0.429,-1.02,-1.221,NA,0.134,-0.161,-0.077,2024,16.162,0.473,-0.203,-0.182,-0.155,0.265,NA,NA,NA,NA,2024-04-07,spring,NA,NA,NA,NA
Joint_Lik,NA,105334.993,NA,NA,53665.012,83505.37,132887.261,206971.965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.107,0.345,-0.483,0.193,2024-04-07,spring,NA,NA,NA,NA
DLM,PenDlm,103537.563,15.463,31151.492,71689.917,91234.79,117499.332,149533.257,0.08,0.709,0.355,0.054,1,0.429,-1.035,-1.198,0.08,0.304,-0.368,-0.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-04-08,spring,NA,NA,NA,NA
ARIMA,RMSE_weighted,118131.762,17.325,31520.054,54829.098,90453.884,154770.632,261450.207,6.91,0.319,0.174,0.054,NA,0.429,-1.052,-1.22,NA,0.137,-0.183,-0.066,2024,17.082,0.506,-0.236,-0.204,-0.173,0.291,NA,NA,NA,NA,2024-04-08,spring,NA,NA,NA,NA
Joint_Lik,NA,106014.057,NA,NA,54043.124,84059.071,133721.77,208213.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.974,0.345,-0.433,0.191,2024-04-08,spring,NA,NA,NA,NA
DLM,PenDlm,103712.238,15.664,31089.413,71565.389,91281.082,117836.336,150299.305,0.072,0.715,0.361,0.03,1,0.429,-1.075,-1.213,0.072,0.306,-0.388,-0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-04-09,spring,NA,NA,NA,NA
ARIMA,RMSE_weighted,117663.606,18.003,33264.94,54524.255,90046.488,154241.146,260835.035,6.486,0.302,0.175,0.057,NA,0.429,-1.093,-1.235,NA,0.129,-0.191,-0.07,2024,18.049,0.537,-0.237,-0.203,-0.175,0.277,NA,NA,NA,NA,2024-04-09,spring,NA,NA,NA,NA
Joint_Lik,NA,106046.053,NA,NA,54036.646,84070.488,133786.483,208393.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.865,0.345,-0.415,0.193,2024-04-09,spring,NA,NA,NA,NA
DLM,PenDlm,104313.9,15.605,30934.677,71512.263,91604.634,118786.456,152161.172,0.066,0.724,0.351,0.022,1,0.429,-1.098,-1.242,0.066,0.31,-0.386,-0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-04-10,spring,NA,NA,NA,NA
